reason_for_recall,reason_lower,reason_cat,n
Firm received positive test results for L. monocytogenes in a finished product. All products manufactured with the same components are being recalled.,firm received positive test results for l. monocytogenes in a finished product. all products manufactured with the same components are being recalled.,Bacterial pathogen contamination,24
"Springside Cheese Corp. is recalling cheese produced on August 21, 2012 through September 1, 2012.  This voluntary recall has been initiated because the cheese has the potential to be contaminated with Giardia, a parasite, from an employee illness.","springside cheese corp. is recalling cheese produced on august 21, 2012 through september 1, 2012.  this voluntary recall has been initiated because the cheese has the potential to be contaminated with giardia, a parasite, from an employee illness.",Other / Unspecified,24
Potential Salmonella contamination,potential salmonella contamination,Bacterial pathogen contamination,24
Foreign material,foreign material,Foreign material,24
The presence of a foreign material inside jugs of Bunge Vegetable Oil.,the presence of a foreign material inside jugs of bunge vegetable oil.,Foreign material,24
Firm made non-alcoholic drink mixer in an unlicensed and uninspected facility. The product safety is concerned due to potential under-processing.,firm made non-alcoholic drink mixer in an unlicensed and uninspected facility. the product safety is concerned due to potential under-processing.,Other / Unspecified,24
Bubble tea powders contain undeclared allergens.,bubble tea powders contain undeclared allergens.,Undeclared allergen,24
Products may be contaminated with Listeria monocytogenes,products may be contaminated with listeria monocytogenes,Bacterial pathogen contamination,23
Meal kits contain cooked chicken which was recalled due to contamination with Listeria monocytogenes,meal kits contain cooked chicken which was recalled due to contamination with listeria monocytogenes,Bacterial pathogen contamination,23
Recall of vegetable trays and cups after notification that they were made with product recalled by Mann Packing for potential Listeria monocytogenes.,recall of vegetable trays and cups after notification that they were made with product recalled by mann packing for potential listeria monocytogenes.,Bacterial pathogen contamination,23
Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,recall initiated as a precautionary measure due to potential risk of product contamination with burkholderia cepacia.,Other / Unspecified,23
RTE products potentially contaminated with Listeria monocytogenes.,rte products potentially contaminated with listeria monocytogenes.,Bacterial pathogen contamination,23
Products are potentially contaminated with Listeria monocytogenes.,products are potentially contaminated with listeria monocytogenes.,Bacterial pathogen contamination,23
Packaged cheesecakes are distributed with no labels indicating the ingredients or the major food allergens they contain.,packaged cheesecakes are distributed with no labels indicating the ingredients or the major food allergens they contain.,Undeclared allergen,23
Dr. Praeger's Sensible Food/Ungar's Food Products is voluntarily recalling various not-ready-to eat frozen products because they may be contaminated with Listeria monocytogenes.,dr. praeger's sensible food/ungar's food products is voluntarily recalling various not-ready-to eat frozen products because they may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,23
Products contain undeclared soy.,products contain undeclared soy.,Undeclared allergen,22
Products with a gluten free claim may contain gluten levels above 20 ppm.,products with a gluten free claim may contain gluten levels above 20 ppm.,Undeclared allergen,22
Downstream recall from supplier.  Possible metal shavings in ingredient.,downstream recall from supplier.  possible metal shavings in ingredient.,Foreign material,22
Product failed to meet air space specifications,product failed to meet air space specifications,Other / Unspecified,22
Liquid Oil products were reported to contain a high density polyethylene resin trim ring in the 35 lb bottles.,liquid oil products were reported to contain a high density polyethylene resin trim ring in the 35 lb bottles.,Other / Unspecified,22
Toxic levels of muscimol,toxic levels of muscimol,Other / Unspecified,22
"Semolina pasta fails to declare the allergen""wheat""","semolina pasta fails to declare the allergen""wheat""",Undeclared allergen,22
"Bubbies Mochi Ice Cream, Bubbles Cookie Dough Ice Cream Bites,Trader Joe's Mochi six-piece products because of the potential for """"free-floating"""" foreign plastic pieces in the product.","bubbies mochi ice cream, bubbles cookie dough ice cream bites,trader joe's mochi six-piece products because of the potential for """"free-floating"""" foreign plastic pieces in the product.",Foreign material,22
